external_ref_id,sku,model_name_variant,component_alias,source_system,confidence_flag
EXT-3f524371,T1-DSP-0261,TravelLite 12 (Legacy),Display_Panel,Manual Entry,needs_review
EXT-4c274817,N2-DSP-0119,NimbusPad,Display Panel,Legacy ERP,needs_review
EXT-c30236b1,AP1-FAN-0156,AeroBookPro14,Cooling Fan,PLM Export,needs_review
EXT-2e997e22,T1-CAM-0147,TravelLite 12,Webcam Module,Manual Entry,unverified
EXT-08ce1471,T1-DSP-0060,TravelLite12,Display Panel,PLM Export,needs_review
EXT-c1e7f88e,T1G-FAN-0275,TitanForce 15 Gaming,COOLING FAN,PLM Export,verified
EXT-24560f4c,T1G-RAM-0206,TitanForce 15 Gaming,RAM Module,PLM Export,needs_review
EXT-6f275f28,T1-BAT-0058,TravelLite 12,Battery,Vendor Portal,needs_review
EXT-1c9817ab,T1-BAT-0116,TravelLite 12,Battery,Vendor Portal,unverified
EXT-4b1f4a3e,T1-SSD-0068,TravelLite 12,SSD STORAGE,PLM Export,verified
EXT-75a8d113,T1G-DSP-0290,TitanForce 15 Gaming (Legacy),DSP,PLM Export,verified
EXT-58a5d82a,WEX-BAT-0292,WorkHorse EliteBook X,Battery,PLM Export,needs_review
EXT-dc61f565,AA1-KB-0059,AeroBook,Keyboard Assembly,Manual Entry,needs_review
EXT-9344903e,WEX-FAN-0149,WorkHorse EliteBook X,Cooling Fan,Vendor Portal,unverified
EXT-af1684f8,WEX-DSP-0066,WorkHorseEliteBookX,Display_Panel,Vendor Portal,verified
EXT-54af4c94,N2-CAM-0102,NIMBUSPAD 2-IN-1,Webcam Module,Legacy ERP,needs_review
EXT-e45fc998,AP1-MB-0259,AEROBOOK PRO 14,Motherboard,Legacy ERP,unverified
EXT-d765654b,N2-CAM-0265,NimbusPad2-in-1,Webcam Module,Legacy ERP,needs_review
EXT-d11752ec,AA1-CAM-0253,AeroBook Air 13,CAM,Legacy ERP,unverified
EXT-614e7eaf,T1-RAM-0165,TravelLite 12,RAM_Module,Legacy ERP,needs_review
EXT-bf0b413c,T1G-BAT-0194,TITANFORCE 15 GAMING,BATTERY,Vendor Portal,unverified
EXT-ff93a5e7,AA1-SSD-0057,AeroBook Air 13 (Legacy),SSD Storage,Vendor Portal,unverified
EXT-98b5e764,WEX-SSD-0208,WorkHorse EliteBook X,SSD STORAGE,Legacy ERP,needs_review
EXT-db8d8a77,T1G-DSP-0240,TitanForce15Gaming,DSP,Vendor Portal,unverified
EXT-9bed5f61,T1-BAT-0242,TravelLite 12,Battery,PLM Export,verified
EXT-59ffad2e,WEX-CAM-0219,WorkHorse EliteBook X,Webcam Module,Vendor Portal,unverified
EXT-0b7450e1,WEX-KB-0111,WorkHorse,Keyboard Assembly,Manual Entry,unverified
EXT-c685b15c,T1G-MB-0013,TITANFORCE 15 GAMING,Motherboard,Legacy ERP,verified
EXT-86d4eb5d,AP1-RAM-0020,AeroBook Pro 14,RAM MODULE,Manual Entry,unverified
EXT-bd899f1e,T1-BAT-0263,TravelLite 12,Battery,Vendor Portal,needs_review
EXT-4e9b5539,T1G-FAN-0195,TitanForce 15 Gaming,Cooling_Fan,PLM Export,unverified
EXT-656ab411,AA1-RAM-0140,AeroBook Air 13 (Legacy),RAM Module,PLM Export,unverified
EXT-c2f7b78c,T1-KB-0272,TravelLite12,Keyboard_Assembly,PLM Export,unverified
EXT-207e309b,N2-BAT-0246,NimbusPad 2-in-1,Battery,Vendor Portal,unverified
EXT-dd44090f,T1G-SSD-0214,TitanForce15Gaming,SSD,Legacy ERP,needs_review
EXT-ed9570f5,T1-CAM-0079,TRAVELLITE 12,CAM,Legacy ERP,unverified
EXT-7a33df06,AP1-SSD-0014,AeroBook Pro. 14,SSD STORAGE,Manual Entry,needs_review
EXT-8df6b5ff,WEX-SSD-0128,WorkHorse EliteBook X,SSD,Vendor Portal,verified
EXT-32ad56c9,AP1-CAM-0215,AeroBook Pro 14,WEBCAM MODULE,PLM Export,verified
EXT-938e5049,N2-MB-0137,NIMBUSPAD 2-IN-1,Motherboard,Legacy ERP,verified
EXT-58902c4a,T1-BAT-0074,TravelLite 12 (Legacy),Battery,Legacy ERP,needs_review
EXT-2db97a1d,AP1-SSD-0030,AeroBook Pro 14,SSD Storage,Vendor Portal,needs_review
EXT-71b21919,T1G-RAM-0295,TitanForce 15 Gaming,RAM MODULE,Manual Entry,unverified
EXT-35985911,T1G-DSP-0100,TitanForce 15 Gaming,DISPLAY PANEL,Manual Entry,needs_review
EXT-ef260366,AP1-FAN-0085,AeroBook Pro. 14,Cooling Fan,Manual Entry,unverified
EXT-1ff2b914,N2-BAT-0046,NimbusPad 2-in-1,BATTERY,Legacy ERP,verified
EXT-777795cd,T1-RAM-0213,TravelLite 12 (Legacy),RAM_Module,PLM Export,needs_review
EXT-6bbf7a53,T1-FAN-0004,TravelLite 12,FAN,Vendor Portal,verified
EXT-7a4f18fc,AA1-FAN-0110,AEROBOOK AIR 13,COOLING FAN,Manual Entry,needs_review
EXT-99c1d89b,AP1-RAM-0021,AeroBookPro14,RAM_Module,Manual Entry,verified
EXT-2f7139fd,T1G-BAT-0252,titanforce 15 gaming,Battery,Vendor Portal,verified
EXT-a15c8f89,AP1-RAM-0083,AeroBook,RAM Module,Manual Entry,unverified
EXT-3b9efa6c,WEX-CAM-0032,WorkHorse EliteBook X (Legacy),WEBCAM MODULE,Vendor Portal,unverified
EXT-6da16db0,N2-DSP-0178,NimbusPad 2-in-1,Display Panel,PLM Export,unverified
EXT-16867246,T1-FAN-0154,TravelLite 12,Cooling_Fan,Vendor Portal,needs_review
EXT-fa789af6,T1-DSP-0228,TravelLite12,Display_Panel,PLM Export,needs_review
EXT-34813eaa,T1-CAM-0150,TRAVELLITE 12,Webcam Module,Manual Entry,unverified
EXT-f9c02443,N2-KB-0179,NimbusPad 2-in-1,KB,Vendor Portal,unverified
EXT-273a5972,AA1-KB-0221,AeroBook Air 13,Keyboard Assembly,PLM Export,needs_review
EXT-7845f0bc,N2-RAM-0094,nimbuspad 2-in-1,RAM_Module,PLM Export,needs_review
EXT-94f988f8,WEX-FAN-0271,WorkHorse EliteBook X,COOLING FAN,Vendor Portal,unverified
EXT-14ed4c54,T1-RAM-0022,TravelLite12,RAM,Legacy ERP,needs_review
EXT-797a3f1b,T1-RAM-0133,TravelLite 12,RAM Module,Vendor Portal,needs_review
EXT-675c71c7,N2-FAN-0211,NIMBUSPAD 2-IN-1,Cooling_Fan,PLM Export,verified
EXT-b637a4e9,AA1-MB-0184,AeroBook Air 13,MOTHERBOARD,Vendor Portal,verified
EXT-e2e94fb0,AP1-FAN-0033,AeroBook Pro 14,Cooling_Fan,Vendor Portal,needs_review
EXT-772b871b,AA1-CAM-0054,aerobook air 13,CAM,PLM Export,verified
EXT-843b46cc,WEX-RAM-0146,workhorse elitebook x,RAM Module,Legacy ERP,needs_review
EXT-afb77229,T1G-CAM-0139,TitanForce,CAM,Legacy ERP,needs_review
EXT-2353d7ab,T1-FAN-0218,TRAVELLITE 12,COOLING FAN,PLM Export,needs_review
EXT-164d0827,N2-CAM-0118,nimbuspad 2-in-1,WEBCAM MODULE,Manual Entry,verified
EXT-01e3d73c,AA1-CAM-0143,AeroBookAir13,CAM,Vendor Portal,verified
EXT-d6f7924c,N2-CAM-0232,NIMBUSPAD 2-IN-1,CAM,Legacy ERP,needs_review
EXT-93166dd8,AA1-DSP-0121,aerobook air 13,Display Panel,Manual Entry,unverified
EXT-5db046f7,AP1-MB-0098,AeroBook Pro 14 (Legacy),Motherboard,Manual Entry,needs_review
EXT-2d335a6b,T1-MB-0037,TravelLite 12 (Legacy),Motherboard,Legacy ERP,verified
EXT-0c5ad4d7,T1-CAM-0040,TravelLite 12,Webcam Module,Legacy ERP,needs_review
