claim_id,sku,laptop_model,component_name,claim_date,failure_symptom,days_in_service_at_failure,repair_cost_usd,resolution
WC-00117,AP1-BAT-0136,AeroBook Pro 14,Battery,2025-11-27,Battery not detected,686,123.32,Refunded
WC-00118,T1G-BAT-0241,TitanForce 15 Gaming,Battery,2025-12-31,Won't hold charge,94,91.37,Pending
WC-00119,T1-RAM-0213,TravelLite 12,RAM Module,2025-10-11,Blue screen / crashes,767,126.04,Refunded
WC-00120,T1-MB-0037,TravelLite 12,Motherboard,2024-01-06,No display output,465,117.58,Refunded
WC-00121,AA1-SSD-0035,AeroBook Air 13,SSD Storage,2024-03-30,Boot failure,451,142.92,Pending
WC-00122,N2-SSD-0036,NimbusPad 2-in-1,SSD Storage,2024-04-01,Data corruption,577,41.52,Refunded
WC-00123,T1G-RAM-0260,TitanForce 15 Gaming,RAM Module,2024-01-13,Memory not detected,433,125.52,Replaced
WC-00124,T1-FAN-0218,TravelLite 12,Cooling Fan,2025-07-26,Loud grinding noise,595,163.51,Pending
WC-00125,AP1-BAT-0055,AeroBook Pro 14,Battery,2024-10-02,Swelling detected,284,155.54,Replaced
WC-00126,AP1-BAT-0055,AeroBook Pro 14,Battery,2024-10-09,Swelling detected,316,153.01,Replaced
WC-00127,AA1-FAN-0110,AeroBook Air 13,Cooling Fan,2024-09-09,Overheating,650,156.3,Repaired
WC-00128,AA1-CAM-0143,AeroBook Air 13,Webcam Module,2024-05-18,Blurry/no image,16,285.41,Refunded
WC-00129,AA1-BAT-0254,AeroBook Air 13,Battery,2025-01-24,Swelling detected,460,110.4,Repaired
WC-00130,AP1-FAN-0091,AeroBook Pro 14,Cooling Fan,2025-09-09,Overheating,215,151.52,Repaired
WC-00131,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2024-11-22,Fan not spinning,762,213.06,Pending
WC-00132,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2026-03-11,Loud grinding noise,343,122.18,Pending
WC-00133,WEX-KB-0111,WorkHorse EliteBook X,Keyboard Assembly,2025-07-31,Keys unresponsive,616,299.22,Repaired
WC-00134,WEX-MB-0205,WorkHorse EliteBook X,Motherboard,2025-07-17,Won't power on,985,222.26,Repaired
WC-00135,N2-MB-0137,NimbusPad 2-in-1,Motherboard,2024-10-25,Won't power on,848,256.62,Pending
WC-00136,AP1-RAM-0204,AeroBook Pro 14,RAM Module,2024-05-22,Memory not detected,257,87.01,Repaired
WC-00137,AP1-CAM-0215,AeroBook Pro 14,Webcam Module,2026-03-19,Blurry/no image,85,142.98,Pending
WC-00138,WEX-KB-0176,WorkHorse EliteBook X,Keyboard Assembly,2025-07-01,Backlight failure,955,277.31,Pending
WC-00139,WEX-MB-0166,WorkHorse EliteBook X,Motherboard,2026-03-20,No display output,728,270.22,Replaced
WC-00140,T1-MB-0037,TravelLite 12,Motherboard,2024-09-11,No display output,180,199.39,Replaced
WC-00141,AA1-SSD-0170,AeroBook Air 13,SSD Storage,2025-10-22,Drive not detected,672,128.89,Refunded
WC-00142,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2025-03-16,Loud grinding noise,20,43.1,Repaired
WC-00143,T1-RAM-0157,TravelLite 12,RAM Module,2025-06-15,Blue screen / crashes,466,121.62,Pending
WC-00144,T1-BAT-0235,TravelLite 12,Battery,2025-08-25,Battery not detected,522,57.96,Replaced
WC-00145,AA1-KB-0151,AeroBook Air 13,Keyboard Assembly,2024-10-29,Sticky keys,952,289.09,Replaced
WC-00146,AP1-KB-0251,AeroBook Pro 14,Keyboard Assembly,2026-01-17,Keys unresponsive,366,103.89,Pending
WC-00147,N2-KB-0237,NimbusPad 2-in-1,Keyboard Assembly,2025-06-17,Sticky keys,366,150.71,Pending
WC-00148,T1-FAN-0218,TravelLite 12,Cooling Fan,2025-04-08,Fan not spinning,78,100.58,Replaced
WC-00149,AP1-FAN-0006,AeroBook Pro 14,Cooling Fan,2024-12-17,Overheating,121,207.98,Repaired
WC-00150,T1-BAT-0278,TravelLite 12,Battery,2026-01-28,Won't hold charge,538,64.72,Repaired
WC-00151,T1-KB-0101,TravelLite 12,Keyboard Assembly,2025-03-12,Sticky keys,247,242.36,Repaired
WC-00152,AA1-KB-0059,AeroBook Air 13,Keyboard Assembly,2025-11-04,Sticky keys,415,23.32,Repaired
WC-00153,N2-MB-0138,NimbusPad 2-in-1,Motherboard,2025-03-15,Overheating / thermal shutdown,14,215.85,Repaired
WC-00154,WEX-FAN-0087,WorkHorse EliteBook X,Cooling Fan,2025-12-21,Loud grinding noise,601,44.0,Repaired
WC-00155,T1-CAM-0112,TravelLite 12,Webcam Module,2024-07-20,Blurry/no image,126,89.77,Pending
WC-00156,WEX-BAT-0162,WorkHorse EliteBook X,Battery,2025-10-16,Swelling detected,621,125.76,Pending
WC-00157,N2-RAM-0177,NimbusPad 2-in-1,RAM Module,2024-12-22,Memory not detected,875,145.49,Repaired
WC-00158,N2-BAT-0246,NimbusPad 2-in-1,Battery,2025-12-23,Swelling detected,950,190.13,Replaced
WC-00159,T1-CAM-0203,TravelLite 12,Webcam Module,2024-11-16,Camera not detected,254,102.03,Repaired
WC-00160,T1-BAT-0116,TravelLite 12,Battery,2024-05-24,Battery not detected,407,134.2,Repaired
WC-00161,T1-FAN-0173,TravelLite 12,Cooling Fan,2025-03-09,Loud grinding noise,508,196.12,Repaired
WC-00162,T1-MB-0168,TravelLite 12,Motherboard,2025-05-16,No display output,153,68.32,Pending
WC-00163,AP1-BAT-0188,AeroBook Pro 14,Battery,2026-06-05,Swelling detected,984,17.73,Repaired
WC-00164,T1-FAN-0063,TravelLite 12,Cooling Fan,2025-01-28,Overheating,527,201.12,Pending
WC-00165,T1-FAN-0207,TravelLite 12,Cooling Fan,2025-03-01,Overheating,870,141.5,Repaired
WC-00166,T1-CAM-0026,TravelLite 12,Webcam Module,2024-02-01,Camera not detected,309,24.32,Repaired
WC-00167,N2-DSP-0164,NimbusPad 2-in-1,Display Panel,2024-06-21,Screen flicker,589,226.62,Pending
WC-00168,T1G-SSD-0167,TitanForce 15 Gaming,SSD Storage,2024-04-25,Drive not detected,126,91.35,Refunded
WC-00169,WEX-MB-0166,WorkHorse EliteBook X,Motherboard,2026-02-13,Won't power on,788,219.91,Repaired
WC-00170,T1G-FAN-0298,TitanForce 15 Gaming,Cooling Fan,2024-04-14,Overheating,859,201.3,Repaired
WC-00171,T1-FAN-0090,TravelLite 12,Cooling Fan,2024-02-03,Fan not spinning,279,114.34,Replaced
WC-00172,N2-MB-0137,NimbusPad 2-in-1,Motherboard,2024-04-30,Random shutdowns,224,246.05,Refunded
WC-00173,AP1-MB-0259,AeroBook Pro 14,Motherboard,2025-09-16,Overheating / thermal shutdown,179,190.6,Repaired
WC-00174,N2-BAT-0246,NimbusPad 2-in-1,Battery,2026-04-04,Won't hold charge,593,114.98,Refunded
WC-00175,T1-KB-0182,TravelLite 12,Keyboard Assembly,2024-06-21,Sticky keys,730,98.4,Refunded
WC-00176,AA1-RAM-0289,AeroBook Air 13,RAM Module,2025-06-10,Blue screen / crashes,148,289.39,Pending
WC-00177,T1G-KB-0276,TitanForce 15 Gaming,Keyboard Assembly,2024-10-10,Backlight failure,139,214.91,Repaired
WC-00178,T1-MB-0078,TravelLite 12,Motherboard,2025-12-29,No display output,858,85.55,Pending
WC-00179,N2-MB-0152,NimbusPad 2-in-1,Motherboard,2025-08-14,No display output,652,133.05,Pending
WC-00180,AA1-MB-0023,AeroBook Air 13,Motherboard,2026-03-24,Won't power on,422,161.95,Refunded
WC-00181,T1G-KB-0209,TitanForce 15 Gaming,Keyboard Assembly,2026-06-17,Sticky keys,475,285.82,Refunded
WC-00182,T1-KB-0175,TravelLite 12,Keyboard Assembly,2026-06-08,Backlight failure,105,223.32,Pending
WC-00183,N2-FAN-0193,NimbusPad 2-in-1,Cooling Fan,2025-12-15,Fan not spinning,880,33.05,Pending
WC-00184,T1-FAN-0067,TravelLite 12,Cooling Fan,2025-03-15,Loud grinding noise,516,91.53,Refunded
WC-00185,N2-BAT-0103,NimbusPad 2-in-1,Battery,2025-08-14,Won't hold charge,589,257.94,Refunded
WC-00186,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2026-02-19,Loud grinding noise,57,43.38,Pending
WC-00187,AA1-FAN-0005,AeroBook Air 13,Cooling Fan,2026-05-28,Loud grinding noise,461,145.11,Pending
WC-00188,T1G-BAT-0064,TitanForce 15 Gaming,Battery,2025-12-06,Won't hold charge,913,200.25,Repaired
WC-00189,AA1-MB-0264,AeroBook Air 13,Motherboard,2026-06-16,No display output,105,201.56,Refunded
WC-00190,T1-CAM-0026,TravelLite 12,Webcam Module,2025-11-11,Camera not detected,63,127.96,Refunded
WC-00191,T1-FAN-0218,TravelLite 12,Cooling Fan,2026-02-12,Loud grinding noise,449,201.81,Replaced
WC-00192,T1-DSP-0001,TravelLite 12,Display Panel,2025-05-03,Dead pixels,145,184.2,Pending
WC-00193,T1-FAN-0004,TravelLite 12,Cooling Fan,2025-12-13,Fan not spinning,846,49.37,Pending
WC-00194,T1G-KB-0209,TitanForce 15 Gaming,Keyboard Assembly,2025-05-04,Keys unresponsive,244,124.17,Replaced
WC-00195,N2-SSD-0036,NimbusPad 2-in-1,SSD Storage,2025-01-11,Data corruption,150,124.08,Repaired
WC-00196,T1G-BAT-0194,TitanForce 15 Gaming,Battery,2025-11-24,Won't hold charge,80,166.19,Replaced
WC-00197,WEX-SSD-0185,WorkHorse EliteBook X,SSD Storage,2024-06-17,Data corruption,369,220.89,Repaired
WC-00198,T1G-KB-0276,TitanForce 15 Gaming,Keyboard Assembly,2025-09-22,Backlight failure,463,260.09,Replaced
WC-00199,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2024-05-23,Loud grinding noise,613,223.05,Refunded
WC-00200,AA1-FAN-0294,AeroBook Air 13,Cooling Fan,2024-11-18,Loud grinding noise,263,93.94,Replaced
WC-00201,T1-MB-0078,TravelLite 12,Motherboard,2025-09-07,No display output,807,283.26,Replaced
WC-00202,AP1-SSD-0257,AeroBook Pro 14,SSD Storage,2025-11-05,Data corruption,220,162.56,Repaired
WC-00203,T1-RAM-0226,TravelLite 12,RAM Module,2024-10-29,Blue screen / crashes,812,270.91,Repaired
WC-00204,T1G-KB-0153,TitanForce 15 Gaming,Keyboard Assembly,2024-04-25,Keys unresponsive,521,196.85,Replaced
WC-00205,WEX-BAT-0162,WorkHorse EliteBook X,Battery,2024-01-13,Swelling detected,966,105.19,Pending
WC-00206,AP1-MB-0259,AeroBook Pro 14,Motherboard,2025-08-05,Overheating / thermal shutdown,384,170.71,Repaired
WC-00207,N2-CAM-0232,NimbusPad 2-in-1,Webcam Module,2026-02-27,Camera not detected,27,182.4,Replaced
WC-00208,AA1-BAT-0084,AeroBook Air 13,Battery,2024-02-10,Won't hold charge,981,239.95,Refunded
WC-00209,T1-DSP-0190,TravelLite 12,Display Panel,2025-05-28,Screen flicker,443,215.02,Replaced
WC-00210,T1G-BAT-0194,TitanForce 15 Gaming,Battery,2025-07-04,Battery not detected,166,94.08,Refunded
WC-00211,T1G-SSD-0024,TitanForce 15 Gaming,SSD Storage,2024-07-27,Boot failure,559,108.12,Replaced
WC-00212,AA1-CAM-0093,AeroBook Air 13,Webcam Module,2025-03-23,Camera not detected,69,84.68,Pending
WC-00213,AP1-FAN-0039,AeroBook Pro 14,Cooling Fan,2025-09-18,Overheating,66,103.15,Repaired
WC-00214,AP1-FAN-0039,AeroBook Pro 14,Cooling Fan,2025-12-25,Loud grinding noise,728,18.23,Pending
WC-00215,AA1-RAM-0289,AeroBook Air 13,RAM Module,2025-06-19,Memory not detected,180,120.98,Refunded
WC-00216,WEX-FAN-0220,WorkHorse EliteBook X,Cooling Fan,2024-04-30,Loud grinding noise,353,245.03,Refunded
WC-00217,N2-RAM-0161,NimbusPad 2-in-1,RAM Module,2024-09-26,Blue screen / crashes,518,144.73,Refunded
WC-00218,AA1-BAT-0017,AeroBook Air 13,Battery,2026-05-29,Battery not detected,180,119.79,Refunded
WC-00219,T1-BAT-0235,TravelLite 12,Battery,2025-08-10,Battery not detected,750,47.87,Replaced
WC-00220,AP1-SSD-0014,AeroBook Pro 14,SSD Storage,2026-06-02,Boot failure,260,28.1,Refunded
WC-00221,T1-BAT-0117,TravelLite 12,Battery,2024-06-02,Won't hold charge,963,288.7,Replaced
WC-00222,T1-MB-0168,TravelLite 12,Motherboard,2026-01-01,Overheating / thermal shutdown,239,106.71,Pending
WC-00223,T1G-FAN-0275,TitanForce 15 Gaming,Cooling Fan,2024-11-23,Fan not spinning,855,37.2,Refunded
WC-00224,AP1-FAN-0039,AeroBook Pro 14,Cooling Fan,2025-11-20,Loud grinding noise,193,78.61,Replaced
WC-00225,T1G-DSP-0290,TitanForce 15 Gaming,Display Panel,2024-03-11,Screen flicker,896,95.46,Refunded
WC-00226,AP1-MB-0098,AeroBook Pro 14,Motherboard,2025-07-20,Overheating / thermal shutdown,18,120.14,Refunded
WC-00227,AA1-SSD-0170,AeroBook Air 13,SSD Storage,2024-11-07,Drive not detected,647,84.14,Refunded
WC-00228,N2-KB-0179,NimbusPad 2-in-1,Keyboard Assembly,2025-05-20,Keys unresponsive,760,271.63,Repaired
WC-00229,N2-BAT-0046,NimbusPad 2-in-1,Battery,2025-02-23,Won't hold charge,248,169.34,Replaced
WC-00230,AA1-BAT-0288,AeroBook Air 13,Battery,2024-01-02,Battery not detected,395,256.97,Refunded
WC-00231,N2-SSD-0036,NimbusPad 2-in-1,SSD Storage,2025-06-26,Boot failure,439,155.23,Replaced
WC-00232,AP1-MB-0296,AeroBook Pro 14,Motherboard,2024-05-25,No display output,105,27.51,Repaired
WC-00233,AP1-FAN-0269,AeroBook Pro 14,Cooling Fan,2025-06-16,Fan not spinning,727,270.24,Pending
WC-00234,AP1-MB-0296,AeroBook Pro 14,Motherboard,2024-03-27,Won't power on,527,53.05,Pending
WC-00235,AA1-MB-0023,AeroBook Air 13,Motherboard,2025-08-04,Won't power on,455,203.8,Repaired
